mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,varieties
213.4468548,212.5568552,208.1686756,25.68139195,22.9312039,27.57537101,65.54360939,8.871464013,214.7905495,63.56728645,8.476251404,23.65925608,0
218.7700529,213.2313227,210.0183555,27.54903408,26.88418182,30.99413925,70.97128365,12.39125412,219.5588115,71.27298022,12.62266964,26.24018438,0
225.2649077,220.2265357,217.9054045,22.85672031,22.50857961,25.45652168,60.48958356,9.562443017,225.7148886,70.98590818,9.858578185,21.95951947,0
201.3516965,217.2378963,219.2501137,29.13395903,24.27458366,26.5762775,93.62928642,22.25420162,219.8330802,5.183905385,9.09569019,25.62209489,0
213.7239293,211.1219845,207.8677828,26.56614132,24.86065246,28.71383508,62.17437835,8.737098651,214.4486741,67.00116947,7.76938414,25.49740811,0
217.0702432,214.3589773,210.9701354,29.36208804,25.75515184,29.91705213,54.45665236,9.749174219,218.4160267,66.43274243,7.251785316,26.80923912,0
215.7392617,213.0830486,207.8970801,28.36518289,25.62834893,31.25775636,47.23373355,11.58899067,216.8192763,59.36440064,10.37544294,26.52460666,0
210.1297144,209.8977843,204.8438782,25.63634655,22.95768199,27.89924635,62.52839286,9.565520926,211.8229069,59.11078961,8.990416873,23.39438063,0
219.941022,215.2137258,211.2993997,23.17075997,22.48256391,26.1713322,44.6553928,11.20798461,220.369989,60.45118531,9.335970982,22.34223042,0
216.4791363,212.8495524,209.7262116,24.75109461,24.02538336,27.65659377,55.93176457,9.135340319,216.7923386,67.63398951,7.386851201,24.24196355,0
215.792423,213.0211147,210.3637338,23.67523002,21.05163623,23.81556176,57.11905024,8.236722166,216.6680234,64.92802317,5.636903842,22.31599084,0
207.3439767,221.8454732,223.7641841,28.15696294,22.9053998,24.88964285,94.05762091,19.93632968,224.1967572,4.854109658,9.727460224,24.06393608,0
93.02114014,166.347966,105.2233415,6.406852632,4.921117048,6.145406919,64.9735133,112.5029681,166.347966,0.77256716,6.800247837,4.921117048,0
209.7579096,222.3805289,228.3287299,29.74479053,23.6466873,25.02575977,100.288306,21.71823536,228.4187062,6.163186102,10.27843653,24.82937803,0
175.3251778,195.0017519,175.5130976,55.6353192,29.85257735,49.66620854,62.81446373,37.71083685,196.5008613,44.59411197,44.21164401,30.75589574,0
175.3251778,195.0017519,175.5130976,55.6353192,29.85257735,49.66620854,62.81446373,37.71083685,196.5008613,44.59411197,44.21164401,30.75589574,0
89.6337795,163.4241752,99.82591131,6.689121331,5.315376588,6.323813302,64.04195973,115.2741361,163.4241752,0.741127244,7.058474803,5.315376588,0
215.0378094,211.4297624,206.0115269,26.92958965,25.37267375,30.8955704,47.80490291,12.53356587,215.729407,60.68425943,10.86166781,25.75912113,0
223.2004414,217.5788081,214.6623367,23.56555513,22.65477985,26.34039535,54.66005027,10.68201554,223.3458873,70.91081326,7.052934259,23.23017357,0
195.1021466,212.4496662,213.1007981,29.88191606,24.02950976,26.54413002,91.61084465,23.60052368,214.0810224,5.225234181,10.44712692,25.22754443,0
183.0925767,197.2151281,181.6008596,56.07291657,28.76620065,46.52061747,50.79803609,35.77091509,200.9666454,50.35466741,43.91891644,30.30845982,0
183.0925767,197.2151281,181.6008596,56.07291657,28.76620065,46.52061747,50.79803609,35.77091509,200.9666454,50.35466741,43.91891644,30.30845982,0
87.43446988,162.3471269,104.1943735,6.456685535,5.091863183,6.293873976,66.63702646,117.8110463,162.3471269,0.736181519,7.021439512,5.091863183,0
203.8852205,218.9855388,221.4719858,31.0469206,25.26909763,27.32229464,93.34516126,22.09856742,222.1395469,10.53973689,10.71790238,26.55189809,0
225.8850009,223.1994759,221.3173409,23.41721193,21.83770494,25.16103364,88.74098979,6.516233132,226.3179609,74.48356077,6.19876044,22.5564754,0
217.7468515,214.1798466,209.555409,24.24991616,21.93243116,25.87680663,35.80192084,10.70586322,218.2374033,52.19545684,6.065381827,23.22869427,0
215.4835171,213.1666678,208.5347067,29.95695943,25.09071026,30.21813314,44.62004776,11.01718891,217.0617688,58.09506141,7.532674487,27.03040651,0
215.4835171,213.1666678,208.5347067,29.95695943,25.09071026,30.21813314,44.62004776,11.01718891,217.0617688,58.09506141,7.532674487,27.03040651,0
89.95165615,163.4058478,102.0605223,6.371707591,4.751594238,6.121353816,64.91658945,114.7236086,163.4058478,0.826535264,7.173257306,4.751594238,0
219.7915599,215.6366572,211.6827645,23.86958017,21.27847977,24.99173084,29.71804416,10.42998514,220.2638657,48.29137341,5.524815662,22.83742484,0
219.1092873,215.2050691,211.0765473,23.47059899,20.66551736,24.45480756,35.18249698,10.53607545,219.7788135,52.2361169,8.772344896,22.09431577,0
211.5893457,212.506033,209.2061534,27.58105248,24.33795275,28.81351126,73.93274029,6.746952827,213.6388729,59.85354538,7.591273741,25.09484085,0
201.4910886,217.14951,219.7805837,29.87369129,23.76160474,25.95098245,95.00216563,22.63917701,220.2306189,5.274232439,9.753251289,25.17141961,0
